"20","127824"
"5","77"
"13","9410"
"3","6"
"18","167129"
"6","181"
"2","1"
"8","1237"
"2","1"
"9","1803"
"4","28"
"15","8581"
"20","248616"
"2","1"
"2","1"
"6","208"
"17","40999"
"2","1"
"11","6188"
"4","24"
"12","3415"
"21","65126"
"19","94972"
"10","3268"
"13","21568"
"35","5446073"
"8","1930"
"21","284504"
"10","5545"
"9","2760"
"2","1"
"19","106164"
"16","60600"
"6","289"
"11","8664"
"6","127"
"14","51073"
"18","103464"
"18","112441"
"4","11"
"23","530395"
"9","3475"
"8","785"
"11","3435"
"10","6062"
"14","13072"
"16","47987"
"26","657516"
"11","3747"
"23","336678"
"35","2793175"
"12","5340"
"8","1558"
"2","1"
"4","9"
"7","304"
"14","25718"
"8","717"
"7","424"
"32","195331"
"8","524"
"61","2070393"
"31","952591"
"17","42054"
"12","4888"
"29","281535"
"14","9395"
"15","13189"
"2","1"
"5","97"
"30","3283643"
"7","229"
"12","2883"
"25","152053"
"14","14653"
"14","13712"
"10","4856"
"16","31370"
"12","5806"
"26","399483"
"12","7179"
"2","1"
"15","12173"
"8","333"
"4","13"
"8","523"
"9","1948"
"9","916"
"7","264"
"9","1514"
"11","4470"
"16","35082"
"4","13"
"31","1117974"
"28","1216159"
"12","7275"
"7","350"
"18","50768"
"7","449"
"4","39"
"7","301"
"39","5984489"
"8","771"
"12","41398"
"25","542661"
"33","383997"
"34","606699"
"25","854338"
"14","14265"
"23","86163"
"2","1"
"17","12095"
"5","36"
"9","2633"
"30","1107155"
"7","242"
"5","86"
"9","1319"
"6","175"
"11","4268"
"2","1"
"5","72"
"8","1558"
"2","1"
"5","70"
"11","5295"
"8","611"
"2","1"
"4","18"
"5","36"
"2","1"
"19","54736"
"9","613"
"8","733"
"17","54457"
"14","6110"
"8","858"
"24","172043"
"19","43002"
"6","266"
"4","25"
"5","84"
"8","764"
"18","67257"
"17","90670"
"11","5496"
"26","348355"
"7","521"
"6","191"
"7","264"
"14","22467"
"9","1423"
"12","8111"
"10","3720"
"14","12079"
"2","1"
"5","39"
"15","51692"
"10","8859"
"7","367"
"28","887698"
"14","16510"
"2","1"
"18","74610"
"17","105183"
"16","77029"
"14","30223"
"14","15419"
"8","920"
"6","257"
"2","1"
"11","4534"
"8","312"
"6","199"
"8","1016"
"13","21501"
"12","4314"
"11","8415"
"7","683"
"12","5876"
"18","43755"
"25","495553"
"11","4415"
"2","1"
"26","186167"
"12","3859"
"6","144"
"19","137205"
"9","1646"
"5","63"
"30","758917"
"2","1"
"2","1"
"8","455"
"19","52137"
"28","1262268"
"14","30519"
"24","395703"
"17","59946"
"16","47862"
"17","55043"
"11","4886"
"9","1591"
"19","12074"
"16","38300"
"20","284977"
"12","10671"
"2","1"
"13","12928"
"31","902343"
"19","17397"
"17","29002"
"7","530"
"9","336"
"24","426820"
"11","10531"
"7","409"
"23","236337"
"16","51977"
"44","4207791"
"7","645"
"10","3503"
"11","9366"
"14","29368"
"24","571442"
"7","617"
"11","7139"
"10","2261"
"18","52271"
"27","735585"
"39","8802291"
"10","1013"
"20","136199"
"12","12748"
"20","97891"
"11","1653"
"25","531664"
"16","38092"
"5","26"
"8","728"
"19","119930"
"14","61166"
"9","2070"
"6","242"
"17","177498"
"18","51634"
"19","99338"
"10","968"
"12","15156"
"19","85348"
"12","13773"
"21","184732"
"4","17"
"8","615"
"42","5146717"
"24","124007"
"4","28"
"14","54232"
"2","1"
"7","869"
"22","79434"
"2","1"
"5","70"
"10","2300"
"12","2902"
"2","1"
"19","190036"
"32","2759789"
"14","14186"
"19","67517"
"11","3243"
"7","560"
"13","20701"
"13","7349"
"22","112553"
"15","45767"
"17","97154"
"2","1"
"7","556"
"20","26677"
"17","86680"
"20","337854"
"14","42341"
"19","33023"
"8","664"
"13","12426"
"17","57918"
"19","81040"
"8","648"
"2","1"
"7","73"
"13","7940"
"12","9517"
"18","60622"
"22","179105"
"12","10211"
"10","1576"
"9","1401"
"29","983585"
"15","20910"
"5","100"
"9","3254"
"7","735"
"7","405"
"8","665"
"30","1750120"
"7","339"
"30","2109776"
"32","1807730"
"21","251791"
"17","109809"
"12","11297"
"18","97286"
"7","539"
"20","141927"
"9","2137"
"5","43"
"20","286435"
"30","4158464"
"22","634268"
"26","747744"
"21","149457"
"13","27606"
"11","10848"
"9","2283"
"30","2139877"
"18","116069"
"10","3295"
"14","10896"
"7","454"
"13","15293"
"21","121426"
"6","94"
"15","8868"
"9","2098"
"15","31940"
"21","118249"
"13","7115"
"35","1865723"
"5","97"
"15","27932"
"2","1"
"2","1"
"46","5936526"
"6","126"
"5","56"
"2","1"
"5","151"
"32","514754"
"11","3140"
"14","9269"
"6","182"
"46","5744010"
"9","854"
"11","5491"
"6","191"
"8","307"
"14","53937"
"13","16306"
"5","44"
"24","246985"
"7","559"
"16","34666"
"13","7863"
"3","6"
"18","109195"
"16","80106"
"10","496"
"11","3539"
"24","265743"
"7","354"
"2","1"
"23","870979"
"16","75785"
"15","49940"
"31","633797"
"11","3669"
"13","11132"
"14","10257"
"26","304609"
"17","14885"
"15","5010"
"19","45373"
"17","26192"
"18","57943"
"15","26357"
"14","11478"
"36","1885625"
"8","837"
"19","273559"
"11","2644"
"11","4049"
"22","320852"
"7","668"
"18","97491"
"10","5697"
"12","6650"
"21","151406"
"8","695"
"5","80"
"5","53"
"10","1698"
"8","701"
"11","2392"
"17","121438"
"14","3064"
"8","824"
"11","1142"
"41","2057671"
"21","90564"
"4","19"
"13","12727"
"2","1"
"4","18"
"3","6"
"8","835"
"13","19951"
"2","1"
"11","17751"
"30","658538"
"20","41817"
"7","187"
"4","22"
"7","168"
"3","6"
"9","1403"
"16","45109"
"9","1240"
"27","786855"
"10","2594"
"17","44881"
"8","1519"
"23","147371"
"19","43093"
"45","9937603"
"12","22930"
"4","28"
"35","2489804"
"21","80046"
"25","550473"
"14","9526"
"5","48"
"11","6385"
"13","5994"
"15","12589"
"6","130"
"14","23151"
"16","21956"
"17","21317"
"14","11940"
"23","365586"
"17","33413"
"2","1"
"33","987451"
"8","347"
"16","19463"
"8","869"
"17","89116"
"37","7098571"
"22","182347"
"34","3565047"
"24","521851"
"26","669104"
"18","48723"
"10","3167"
"9","845"
"5","67"
"14","9409"
"23","452251"
"17","98834"
"13","11567"
"24","162781"
"15","55625"
"6","212"
"2","1"
"7","839"
"24","953590"
"7","556"
"12","11464"
"17","33755"
"14","45325"
"9","999"
"14","14444"
"13","17846"
"20","337284"
"19","124260"
"7","638"
"10","2538"
"8","538"
"11","3451"
"25","176680"
"15","28923"
"9","1848"
"9","1108"
"13","9748"
"13","18972"
"19","118360"
"15","4159"
"10","1794"
"18","92643"
"10","939"
"12","4074"
"22","221760"
"19","146763"
"17","30944"
"23","127698"
"11","8601"
"14","10909"
"4","15"
"23","129379"
"6","211"
"13","14118"
"37","2622944"
"17","83335"
"13","34956"
"8","1075"
"20","181585"
"14","42862"
"40","5831836"
"10","3883"
"16","46844"
"17","67938"
"13","11912"
"18","88596"
"2","1"
"8","1315"
"13","39388"
"21","347602"
"13","14045"
"11","10977"
"9","1596"
"15","4471"
"10","1759"
"12","9809"
"10","4410"
"15","11304"
"21","130769"
"21","42215"
"20","132152"
"7","360"
"32","809078"
"23","543271"
"9","968"
"17","83541"
"4","26"
"19","66475"
"21","123820"
"9","4630"
"13","7650"
"8","984"
"10","6660"
"7","406"
"2","1"
"4","16"
"5","52"
"14","30398"
"12","16339"
"18","127177"
"7","646"
"16","30884"
"18","58974"
"31","1895468"
"11","9369"
"3","6"
"20","41497"
"15","29667"
"18","130871"
"31","3132953"
"12","6042"
"10","2996"
"9","1257"
"18","100683"
"25","143823"
"13","22960"
"16","31991"
"9","1553"
"4","17"
"12","17220"
"9","1131"
"2","1"
"2","1"
"11","4847"
"12","9005"
"14","7389"
"13","43424"
"36","1169993"
"14","24957"
"30","353548"
"16","16834"
"14","16542"
"15","7798"
"9","1182"
"2","1"
"2","1"
"7","180"
"2","1"
"2","1"
"8","793"
"32","1661775"
"14","25990"
"7","360"
"9","1394"
"7","513"
"15","13794"
"3","6"
"5","47"
"17","1733"
"3","6"
"9","710"
"14","13201"
"2","1"
"10","2146"
"10","6138"
"15","35956"
"8","1646"
