umuliggøre,0,
øjensynlig,0,
gennemsnitpå,0,
procentvis,0,
blå,0,
øverst,0,
liberal,0,
stræbsom,1,
plagsom,-1,
fri|fritte,0,
umulig,0,
tæt,0,
total,0,
højre,0,
venstre,0,
mærkelig,-1,
skarp,-1,
borgerlig,0,
ulovlig,-1,
mystisk,0,
blind,-1,
skinger,-1,
stupid,-1,
evig,0,
ekstraordinær,1,
benhård,0,
integrationsmæssig,0,
aktuel,0,
kold,0,
forventelig,0,
forrykt,-1,
britisk,0,
engelsk,0,
konstant,0,
relativ,0,
lun|lunte,1,
nødvendig,0,
absolut,0,
konventionel,0,
ensidig,0,
socialdemokratisk,0,
bred|brede,0,
lokalpolitisk,0,
overordentlig,0,
konstruktiv,1,
københavnsk,0,
fortidig,0,
ung,0,
uprofessionel,-1,
fantastisk,1,
bitter,-1,
indbyrdes,0,
bred,0,
traditionel,0,
central,1,
erfaren,1,
ironisk,0,
oprigtig,0,
vred|vrede,-1,
speciel,0,
entydig,0,
parlamentarisk,0,
ansvarlig,1,
selvstændig,1,
barsk,-1,
enorm,0,
rentabel,1,
utvetydig,0,
bekvem,1,
faglig,0,
vigsø,0,
pædagogisk,0,
dygtig,1,
vant,0,
fornøden,0,
væsentlig,1,
familiær,0,
kiær,0,
mindreårig,0,
nylig,0,
behjælpelig,1,
omstridt,-1,
akkurat,0,
milevid,0,
øvrig,0,
revolutionær,0,
religiøs,0,
velkommen,0,
grundlæggende|grundlægge,1,
farverig,0,
arbejdsskadet,-1,
verdensøkonomisk,0,
amok,0,
malajisk,0,
tilsyneladende,0,
uovervejet,-1,
rase|rasende,-1,
desperat,-1,
nødstedt,-1,
nedre,0,
folkevalgt,0,
meningsløs,-1,
lut|lutter,0,
forudgående,0,
naturvidenskabelig,0,
statslig,0,
udendørs,0,
sundhedsvidenskabelig,0,
tung,0,
nordjysk,0,
projekt-orienteret,0,
overflødig,-1,
skriftlig,0,
påkrævet,0,
anderledes,0,
fortørnet,-1,
finansiel,0,
optimistisk,1,
grå,0,
akademisk,0,
præcis,0,
interessant,1,
relevant,1,
optimal,1,
løs|løse,0,
forsvarlig,1,
vis|vise|vie|vi|visse,0,
let,0,
billedlig,0,
uretfærdig,-1,
velbegavet,1,
boglig,0,
toneangivende,1,
ligelig,0,
middelmådig,0,
karakteristisk,1,
overrepræsenteret,0,
hurtigløbernesamtidig,0,
begavet|begave,1,
normaltbegavet,0,
decidere|decideret,0,
varsom,0,
negativ,-1,
essentiel,0,
national,0,
gravid,0,
livslang,0,
højgravid,0,
hjerneskadet,0,
nyfødt,0,
ufødt,0,
regional,0,
medfødt,0,
tværministeriel,0,
udenlandsk,0,
sidstnævnt|sidstnævnte,0,
bange,-1,
uopdaget,0,
slem,-1,
gammeldags,-1,
formålstjenlig,1,
kaotisk,-1,
sædvanlig,0,
belaste,-1,
sårbar,-1,
alkoholafhængig,0,
konservativ,0,
ærgerlig,-1,
blind|blinde,-1,
firkantet,0,
mental,0,
intern,0,
zornig,0,
ligeværdig,0,
ond,-1,
umenneskelig,-1,
egne|egn|egen,0,
dyb,0,
smertelig,-1,
sjælden,0,
psykisk,0,
handicappet|handicappe,0,
samfundsøkonomisk,0,
fireårig,0,
typisk,0,
misvisende,-1,
ulden,-1,
velkendt,0,
grøn,1,
ærlig,1,
månedlig,0,
velfungerende,1,
udenlands,0,
progressiv,1,
nystiftet|nystifte,0,
idépolitisk,0,
mekanisk,0,
visionær,0,
fjern|fjerne,0,
lige,0,
lokal,0,
krause-kjære,0,
lokale|lokal,0,
smuk,1,
gradvis,0,
rød,0,
sort,0,
32-årig,0,
forbipasserende,0,
stolt,1,
arbejdsløs,0,
somalisk,0,
oprindelig,0,
bekendt|bekende,0,
fremmest,0,
udsætte,0,
ikke-vestlig,0,
plat,-1,
stemmeberettiget,0,
dobbelt,0,
ordinær,0,
fynsk,0,
egen,0,
ens|en,0,
køn,0,
norsk,0,
retfærdiggøre,0,
gyldig,1,
socioøkonomisk,0,
svensk|svenske,0,
tilgængelig,0,
katastrofal,-1,
primitiv,-1,
betydelig,0,
nøgtern,1,
nøjagtig,1,
udtrykkelig,1,
nedenstående,0,
-på,0,
sproglig,0,
overvælde|overvældende,0,
indirekte,0,
langtrukket|langtrukken,0,
travl,0,
hjemløs,0,
boligløs,0,
fattig,0,
ressourcestærk,1,
syge|syg,0,
lynhurtig,1,
synlig,0,
uopdyrket,0,
sød,1,
østeuropæisk,0,
kompleks,0,
værdig,1,
værdig|værdige,0,
pludselig,0,
grim,-1,
kommunistisk,0,
pæn,1,
rød-hvid,0,
socialistisk,0,
dannebrogsfarvet,0,
demokratisk,1,
internationalistisk,0,
verdensomspændende,0,
fredelig,1,
overgå,0,
hjertens,0,
forkætret,-1,
historisk,0,
værst|slem,-1,
nogenlunde,0,
troværdig,1,
overfylde|overfyldt,0,
forrige,0,
uønsket,-1,
